"location","hits","keyword","geo","gprop","date"
"Washington",NA,"abortion clinic","US","web","2024-10-23 2024-10-24"
"Wisconsin",NA,"abortion clinic","US","web","2024-10-23 2024-10-24"
"West Virginia",NA,"abortion clinic","US","web","2024-10-23 2024-10-24"
"Delaware",NA,"abortion clinic","US","web","2024-10-23 2024-10-24"
"Missouri",100,"vasectomy","US","web","2024-10-23 2024-10-24"
"Tennessee",73,"vasectomy","US","web","2024-10-23 2024-10-24"
"South Carolina",62,"vasectomy","US","web","2024-10-23 2024-10-24"
"Minnesota",61,"vasectomy","US","web","2024-10-23 2024-10-24"
"Pennsylvania",51,"vasectomy","US","web","2024-10-23 2024-10-24"
"Florida",50,"vasectomy","US","web","2024-10-23 2024-10-24"
"Virginia",48,"vasectomy","US","web","2024-10-23 2024-10-24"
"Maryland",48,"vasectomy","US","web","2024-10-23 2024-10-24"
"Georgia",45,"vasectomy","US","web","2024-10-23 2024-10-24"
"Texas",45,"vasectomy","US","web","2024-10-23 2024-10-24"
"Arizona",44,"vasectomy","US","web","2024-10-23 2024-10-24"
"Colorado",44,"vasectomy","US","web","2024-10-23 2024-10-24"
"Michigan",44,"vasectomy","US","web","2024-10-23 2024-10-24"
"Massachusetts",43,"vasectomy","US","web","2024-10-23 2024-10-24"
"Washington",41,"vasectomy","US","web","2024-10-23 2024-10-24"
"Illinois",41,"vasectomy","US","web","2024-10-23 2024-10-24"
"Ohio",41,"vasectomy","US","web","2024-10-23 2024-10-24"
"California",39,"vasectomy","US","web","2024-10-23 2024-10-24"
"North Carolina",34,"vasectomy","US","web","2024-10-23 2024-10-24"
"New York",34,"vasectomy","US","web","2024-10-23 2024-10-24"
"Alaska",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Wyoming",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Louisiana",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Kentucky",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Kansas",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Mississippi",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Montana",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Indiana",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"North Dakota",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Nebraska",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"New Hampshire",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"New Jersey",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"New Mexico",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Nevada",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Idaho",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Iowa",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Oklahoma",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Oregon",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Hawaii",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Rhode Island",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Delaware",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"South Dakota",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"District of Columbia",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Connecticut",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Utah",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Arkansas",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Vermont",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Alabama",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Wisconsin",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"West Virginia",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Maine",NA,"vasectomy","US","web","2024-10-23 2024-10-24"
"Missouri",100,"abortion","US","web","2024-10-25 2024-10-26"
"Nebraska",94,"abortion","US","web","2024-10-25 2024-10-26"
"Arizona",87,"abortion","US","web","2024-10-25 2024-10-26"
"New Mexico",82,"abortion","US","web","2024-10-25 2024-10-26"
"Vermont",81,"abortion","US","web","2024-10-25 2024-10-26"
"Florida",81,"abortion","US","web","2024-10-25 2024-10-26"
"District of Columbia",77,"abortion","US","web","2024-10-25 2024-10-26"
"Arkansas",70,"abortion","US","web","2024-10-25 2024-10-26"
"Maine",66,"abortion","US","web","2024-10-25 2024-10-26"
"Nevada",66,"abortion","US","web","2024-10-25 2024-10-26"
"Maryland",64,"abortion","US","web","2024-10-25 2024-10-26"
"Montana",64,"abortion","US","web","2024-10-25 2024-10-26"
"Kansas",61,"abortion","US","web","2024-10-25 2024-10-26"
"North Dakota",61,"abortion","US","web","2024-10-25 2024-10-26"
"Michigan",60,"abortion","US","web","2024-10-25 2024-10-26"
"Wisconsin",60,"abortion","US","web","2024-10-25 2024-10-26"
"Georgia",58,"abortion","US","web","2024-10-25 2024-10-26"
"North Carolina",58,"abortion","US","web","2024-10-25 2024-10-26"
"Pennsylvania",57,"abortion","US","web","2024-10-25 2024-10-26"
"Ohio",57,"abortion","US","web","2024-10-25 2024-10-26"
"Colorado",57,"abortion","US","web","2024-10-25 2024-10-26"
"Iowa",57,"abortion","US","web","2024-10-25 2024-10-26"
"South Dakota",54,"abortion","US","web","2024-10-25 2024-10-26"
"West Virginia",53,"abortion","US","web","2024-10-25 2024-10-26"
"Oklahoma",53,"abortion","US","web","2024-10-25 2024-10-26"
"Indiana",52,"abortion","US","web","2024-10-25 2024-10-26"
"Oregon",51,"abortion","US","web","2024-10-25 2024-10-26"
"Utah",50,"abortion","US","web","2024-10-25 2024-10-26"
"South Carolina",50,"abortion","US","web","2024-10-25 2024-10-26"
"Idaho",49,"abortion","US","web","2024-10-25 2024-10-26"
"Minnesota",49,"abortion","US","web","2024-10-25 2024-10-26"
